2,2,13.417592, 2
4,2,20.882393, 2
8,2,18.057865, 2
16,2,24.378923, 2
32,2,25.034113, 2
64,2,21.267817, 2
2,4,20.279919, 2
4,4,18.789295, 2
8,4,28.204023, 2
16,4,28.818245, 2
32,4,28.105659, 2
64,4,29.246107, 2
2,8,35.570892, 2
4,8,42.256748, 2
8,8,36.489742, 2
16,8,39.241505, 2
32,8,46.142570, 2
64,8,56.331184, 2
2,16,49.680882, 2
4,16,83.608185, 2
8,16,54.286308, 2
16,16,79.251846, 2
32,16,98.336006, 2
64,16,140.872101, 2
2,32,108.709038, 2
4,32,107.520714, 2
8,32,98.565277, 2
16,32,141.539322, 2
32,32,201.081268, 2
64,32,289.641235, 2
2,64,192.690994, 2
4,64,201.041306, 2
8,64,236.405090, 2
16,64,290.899536, 2
32,64,383.860748, 2
64,64,585.570740, 2
