2,2,159.924071,7
4,2,168.919788,7
8,2,139.664789,7
16,2,340.645359,16
32,2,443.355603,16
64,2,777.728914,16
2,4,230.907339,8
4,4,350.955773,13
8,4,343.886206,14
16,4,403.891562,15
32,4,684.125535,15
64,4,1228.126893,15
2,8,431.927090,12
4,8,338.305022,11
8,8,636.477595,21
16,8,927.056480,24
32,8,1692.595059,24
64,8,3160.940255,24
2,16,632.497513,16
4,16,407.501398,12
8,16,1383.062600,33
16,16,2815.126552,41
32,16,4986.082225,41
64,16,9540.664909,41
2,32,763.122800,15
4,32,1079.249200,22
8,32,3314.402378,47
16,32,6045.016606,15
32,32,11116.847341,15
64,32,21382.294283,15
2,64,166.868133,3
4,64,445.731521,6
8,64,2047.990472,16
16,64,11750.932337,33
32,64,22381.077214,33
64,64,44020.427972,33
